Date,Open,High,Low,Close,Adj Close,Volume
2009-07-27,29.694656,29.751907,29.026718,29.360687,18.955816,21026758
2009-07-28,29.303434,29.494274,28.406488,28.645039,18.493778,23627265
2009-07-29,28.635496,28.759542,28.158398,28.501907,18.401367,16696736
2009-07-30,28.826336,29.551527,28.511450,28.568703,18.444492,24300290
2009-07-31,28.816793,29.179390,28.540075,28.635496,18.487621,16269362
2009-08-03,29.055344,29.074427,28.368320,28.645039,18.493778,16298286
2009-08-04,28.759542,28.883589,28.129770,28.473282,18.382887,16077892
2009-08-05,28.501907,28.797710,27.996183,28.253817,18.241198,13375100
2009-08-06,28.320610,28.320610,27.910305,28.015266,18.087181,11499494
2009-08-07,28.349237,29.103052,28.101145,28.721375,18.543064,13656278
2009-08-10,28.902672,29.580153,28.730915,29.198473,18.851084,19050963
2009-08-11,29.064884,29.370230,28.769085,28.940840,18.684752,11423829
2009-08-12,28.950382,29.570610,28.625954,29.332062,18.937334,12899518
2009-08-13,29.322519,29.561069,27.375954,29.561069,19.085186,14137939
2009-08-14,29.580153,29.666031,29.122137,29.561069,19.085186,16942178
2009-08-17,29.198473,29.914122,29.141220,29.465649,19.023584,19584290
2009-08-18,29.456106,29.456106,28.912214,29.303434,18.918850,12926032
2009-08-19,29.255726,30.458015,29.055344,30.038168,19.393209,21322294
2009-08-20,30.190840,30.190840,29.561069,29.904579,19.306961,16164562
2009-08-21,30.200382,31.221375,30.009542,31.068703,20.058546,21721372
2009-08-24,31.479008,31.488550,30.830153,31.011450,20.021574,14227229
2009-08-25,31.402672,31.536261,31.011450,31.440840,20.298801,20081566
2009-08-26,31.316793,31.469465,30.982824,31.183207,20.132467,10438080
2009-08-27,31.106871,31.488550,30.734734,31.364504,20.249514,10302154
2009-08-28,31.412214,31.412214,30.648855,30.839695,19.910694,12640452
2009-08-31,30.791985,31.192747,30.687023,30.944656,19.978451,13569294
2009-09-01,30.811069,31.040075,30.209925,30.333969,19.584183,16841465
2009-09-02,29.933207,29.961832,29.341602,29.398855,19.210083,14240853
2009-09-03,29.417938,29.456106,28.568703,28.854961,18.854687,17347754
2009-09-04,29.055344,29.293894,28.826336,29.293894,19.141499,12744309
2009-09-08,29.513359,29.608780,28.912214,29.551527,19.309835,14400358
2009-09-09,29.675573,30.171757,29.475191,30.104961,19.671473,13018780
2009-09-10,30.200382,30.601145,29.837786,30.496183,19.927107,15584913
2009-09-11,30.677481,31.125954,30.458015,31.049618,20.288736,15100108
2009-09-14,30.858780,31.421757,30.820610,31.383589,20.506966,19285296
2009-09-15,31.316793,31.412214,31.106871,31.202290,20.388502,16012602
2009-09-16,31.230915,31.269085,30.400763,30.696566,20.058046,15582712
2009-09-17,30.562977,30.887405,30.257633,30.543894,19.958282,15921426
2009-09-18,30.706106,30.877863,30.324427,30.419847,19.877226,21274086
2009-09-21,30.333969,30.610687,30.152672,30.362595,19.839819,14210251
2009-09-22,30.372137,30.372137,29.856871,29.895039,19.534306,14417546
2009-09-23,29.952290,30.152672,29.732824,29.895039,19.534306,21497834
